Source,Target
39939,402900
39939,466282
39939,363088
39939,462919
12279,383498
12279,402900
12279,466282
12279,363088
12279,462919
345915,383498
345915,402900
345915,466282
345915,363088
345915,462919
7518,383498
7518,402900
7518,466282
7518,363088
7518,462919
290250,383498
290250,402900
290250,466282
290250,363088
290250,462919
39451,383498
39451,402900
39451,466282
39451,363088
39451,462919
